اسم المرفق,النوع,نوع المنشأة,القطاع,الحالة التشغيلية,المحافظة,المديرية
مركز الدولي,مركز,E.N.T,خاص,-,امانة العاصمه,صنعاء القديمه
مركز الرضاء,مركز,باطنيه وصدر,خاص,-,امانة العاصمه,صنعاء القديمه
مركز اكرم ثابت ناشر,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
مركز الخولاني,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الحضراني,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده ايدك لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده احمد الخولاني,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده اسنان سوسن,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الاستشاريه,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الحيفي,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الزهراء,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده سامي الخولاني,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده محمد مقبل,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
عياده هاشم طالب,عيادة,اسنان,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر عصام العزيزي,مختبر,عام,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر الحديث,مختبر,اساسي,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر الوفاق,مختبر,اساسي,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر البلسم,مختبر,عام,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر العربي,مختبر,عام,خاص,-,امانة العاصمه,صنعاء القديمه
مختبر الوطني,مختبر,عام,خاص,-,امانة العاصمه,صنعاء القديمه
عياده رجاء الريمي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,صنعاء القديمه
عياده احمد الاهنومي,عيادة,مسالك بوليه,خاص,-,امانة العاصمه,صنعاء القديمه
عياده اطفال فيصل البابلي,عيادة,اطفال,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الطشي,عيادة,امراض نفسيه,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الوعلي,عيادة,E.N.T,خاص,-,امانة العاصمه,صنعاء القديمه
عياده ايمان الشرعي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,صنعاء القديمه
عياده خالد حزم,عيادة,E.N.T,خاص,-,امانة العاصمه,صنعاء القديمه
عياده عبدالرحمن الشرعي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,صنعاء القديمه
عياده محمد العلفي,عيادة,E N.T,خاص,-,امانة العاصمه,صنعاء القديمه
ارض الجنتين,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده اسحاق,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده البريهي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الحرقان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده السائله,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده السعيدي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الصحوه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده المنار,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده النور,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده الوفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده سلمان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده صلاح عامر,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده غمدان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده نبض الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
عياده هاشم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,صنعاء القديمه
مستشفى التخصصي للامومه الامنه,مستشفى تخصصي,تخصصي/ نساء وولاده - اسنان,خاص,-,امانة العاصمه,شعوب
مستشفى الصحاب,مستشفى عام,نساء وولاده - باطنيه - جراحه عامه - اسنان - انف واذن وحنجره - عظام - مخ واعصاب - مسالك بوليه - رنين - مقطعيه,خاص,-,امانة العاصمه,شعوب
مستشفى سعوان التخصصي,مستشفى عام,تخصصي/ نساء وولاده - جراحه عامه - باطنيه - أطفال - انف واذن وحنجره - اسنان,خاص,-,امانة العاصمه,شعوب
مستشفى د مهاء البيضاني للامومه والطفوله,مستشفى عام,تخصصي/ نساء وولاده - باطنيه - أطفال - جراحه عامه - انف واذن وحنجره - اسنان,خاص,-,امانة العاصمه,شعوب
مستشفى الحرمين التخصصي,مستشفى عام,نساء وولاده - جراحه عامه - باطنيه - أطفال - عظام - مسالك بوليه - انف واذن وحنجره - اسنان,خاص,-,امانة العاصمه,شعوب
مستشفى الرافه التخصصي,مستشفى عام,نساء وولاده - جراحه عامه - باطنيه - أطفال - انف واذن وحنجره - باطنيه,خاص,-,امانة العاصمه,شعوب
مستشفى القهالي التخصصي,مستشفى عام,نساء وولاده - باطنيه - أطفال - جراحه عامه - انف واذن وحنجره - اسنان,خاص,-,امانة العاصمه,شعوب
مستشفى المؤيد الحديث,مستشفى عام,نساء وولاده - باطنيه - أطفال - جراحه عامه - مخ واعصاب - عظام - مسالك بوليه - انف واذن وحنجره - عيون - مقطعيه - اسنان,خاص,-,امانة العاصمه,شعوب
مستشفى آيه التخصصي,مستشفى تخصصي,تخصصي/ جراحه عامه - اسنان,خاص,-,امانة العاصمه,شعوب
مستشفى مارب,مستشفى تخصصي,تخصصي,خاص,-,امانة العاصمه,شعوب
مستشفى الحكماء,مستشفى تخصصي,تخصصي,خاص,-,امانة العاصمه,شعوب
مستشفى سلم الشفاء,مستشفى عام,جراحه عامه,خاص,-,امانة العاصمه,شعوب
مركز سلامتك الطبي التخصصي,مركز,جراحة عامة,خاص,-,امانة العاصمه,شعوب
د/ مصطفى الصلوي,مركز,نفسي,خاص,-,امانة العاصمه,شعوب
المركز المتطور الطبي التشخيصي,مركز,تخصصي تشخيصي,خاص,-,امانة العاصمه,شعوب
مركز الجنتين الطبي,مركز,عام,خاص,-,امانة العاصمه,شعوب
مركز الحكيم الطبي,مركز,عام,خاص,-,امانة العاصمه,شعوب
المركز اليمنى البولندي,مركز,تخصصي اطفال - اسنان,خاص,-,امانة العاصمه,شعوب
مركز الاكليل الطبي,مركز,نساء وولاده - اسنان - اطفال,خاص,-,امانة العاصمه,شعوب
مركز ام تي ان,مركز,عام,خاص,-,امانة العاصمه,شعوب
مركز الحكمي الطبي,مركز,عام,خاص,-,امانة العاصمه,شعوب
مركز النصر الطبي,مركز,عام نساء وولاده - باطنيه - اطفال - اسنان - مسالك بوليه,خاص,-,امانة العاصمه,شعوب
مركز الاء الطبي,مركز,نساء وولاده + اسنان,خاص,-,امانة العاصمه,شعوب
مركز الرقيمي الطبي,مركز,عام,خاص,-,امانة العاصمه,شعوب
الخير,مركز,مغلق,خاص,-,امانة العاصمه,شعوب
علم الشفاء,مركز,مغلق,خاص,-,امانة العاصمه,شعوب
الرصاص,مركز,مغلق,خاص,-,امانة العاصمه,شعوب
القاسمي,مركز,مغلق,خاص,-,امانة العاصمه,شعوب
العاقل,مركز,باطنية اطفال,خاص,-,امانة العاصمه,شعوب
تسنيم,مركز,مغلق,خاص,-,امانة العاصمه,شعوب
الفاء,اشعة,بانوراما,خاص,-,امانة العاصمه,شعوب
الامين لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
الامير لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
الظفاري لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
مركز الزكي لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
مركز العاقل لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
مركز اسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
مركز الخبرات,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
العربي السوري,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
تطبيب للاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
تحرير,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
السميني,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
الماس,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
وايت سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
انهار الفردوس,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
السقاف,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
بسمة يمن,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
د/ ابراهيم,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عالم الابتسامه,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
الاخوه,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
دنتاليا,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
د/رقيه الحرازي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
بركفت سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
د/عبدالملك الصبري,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
د/عبدالله العدله,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
د/عاصم لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
العاقل,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
د/وحيده اليوسفي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
انجاز,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده د.ايناس الشرجبي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
د/لميس العبسي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده السعيده,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده السعادي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده جوكلينك لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده النبيل لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده السلام النموذجيه لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الفردوس لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده البراءه,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده حميد دنت لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ياسمين الطوقي,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ابتسامه حقيقيه,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده اوزون دنت,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده شهاب الهبوب,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده شيماء قشاشه,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده ورد الجوري,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
العياده النموذجيه الحديثه,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده الانوار,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
العياده اليمنية الروسيه لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده لايت لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده المنتصر لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده البسمه لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده د. تسنيم ابو طالب,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده د. تيسير عبدالجليل,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده د. قيس الجمره,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده د. مجاهد سوار,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
عياده د. نهى محمد مبروك,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
العياده الحديثه لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
الخبرات,عيادة,اسنان,خاص,-,امانة العاصمه,شعوب
صالح جحيش,مختبر,اساسي,خاص,-,امانة العاصمه,شعوب
الصادق,مختبر,اساسي,خاص,-,امانة العاصمه,شعوب
مختبر ميكرولاب,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر سام,مختبر,اساسي,خاص,-,امانة العاصمه,شعوب
مختبر العافيه,مختبر,عام,خاص,-,امانة العاصمه,شعوب
العيادة الاستشارية,مختبر,عام,خاص,-,امانة العاصمه,شعوب
الفاء,مختبر,-,خاص,-,امانة العاصمه,شعوب
بيولاب,مختبر,عام,خاص,-,امانة العاصمه,شعوب
الرواد,مختبر,-,خاص,-,امانة العاصمه,شعوب
مختبر المنال,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر النزيلي,مختبر,عام,خاص,-,امانة العاصمه,شعوب
مختبر الوحده,مختبر,اساسي,خاص,-,امانة العاصمه,شعوب
مختبر الاوائل,مختبر,عام,خاص,-,امانة العاصمه,شعوب
نشوان,مختبر,عام,خاص,-,امانة العاصمه,شعوب
شريان,مختبر,اساسي,خاص,-,امانة العاصمه,شعوب
هيمولاب,مختبر,عام,خاص,-,امانة العاصمه,شعوب
السلامه,مختبر,اساسي,خاص,-,امانة العاصمه,شعوب
الاسرة,مختبر,عام,خاص,-,امانة العاصمه,شعوب
الصحة,مختبر,عام,خاص,-,امانة العاصمه,شعوب
العبادي,مختبر,عام,خاص,-,امانة العاصمه,شعوب
د/مطهر شرف الدين,عيادة,أطفال,خاص,-,امانة العاصمه,شعوب
د/احمد الظفري,عيادة,باطنية,خاص,-,امانة العاصمه,شعوب
لينا القاضي,عيادة,نساء وولادة,خاص,-,امانة العاصمه,شعوب
د/قائمه فراص,عيادة,نساء وولادة,خاص,-,امانة العاصمه,شعوب
د/نوال الحكيمي,عيادة,نساء ولاده,خاص,-,امانة العاصمه,شعوب
د/ عباس نور الدين,عيادة,باطنية و قلب,خاص,-,امانة العاصمه,شعوب
د/محمد شريان,عيادة,مسالك بولية,خاص,-,امانة العاصمه,شعوب
د/احمد الصعفاني,عيادة,باطنية,خاص,-,امانة العاصمه,شعوب
د/ حميده القطاع,عيادة,نساء وولادة,خاص,-,امانة العاصمه,شعوب
الرعاية النفسية,عيادة,طب نفسي,خاص,-,امانة العاصمه,شعوب
د/ليلي حنظل,عيادة,نساء وولادة,خاص,-,امانة العاصمه,شعوب
عياده الاكرم للنساء والولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده فاطمه الاكوع,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده اشراق النصيري,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده الهام الشرجبي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده نوره,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده نتاليا حمزه,عيادة,طب عام,خاص,-,امانة العاصمه,شعوب
عياده امينه حسان,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده اماني الصلوي,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,شعوب
عياده د. بلقيس الجمره,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
عياده د. علي حزام العروسي,عيادة,مسالك بوليه,خاص,-,امانة العاصمه,شعوب
عياده اطفال,عيادة,اطفال,خاص,-,امانة العاصمه,شعوب
عياده د. مطيع ابو عريج,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,شعوب
عياده الحكيمي للنساء والولاده,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,شعوب
عياده د. هناء راشد,عيادة,نساء وولاده,خاص,-,امانة العاصمه,شعوب
الزهور,عيادة,قبالة,خاص,-,امانة العاصمه,شعوب
عياده ابو زياد (سعوان),عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده الامل للاسعافات الاوليه والقباله,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده الخير,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده الكامل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده المحضار,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده المنار,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده رشاد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده طيبه للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده محمد لطف الردامي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عياده مروه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ابو عماد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الصحه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الفردوس,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ابن اسحاق,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ابن خلدون,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ابن زيد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ابو اسامه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ابو عمرو,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ابو غانم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ابو محمد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ارض الجنتين,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الارتقاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الاستشارية,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الافاق,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الامانه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الامل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الامل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
البدر,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
البشاري,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
البشرى,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
البلسم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
البلسم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
البيروني,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
التعاون,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
التفائل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الجوده,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الحديثه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الحكمه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الحكمه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الحمزه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الحنان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الحياة,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الحياة,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الخالد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الخير,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الرأفه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الرحمه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الرحمه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الرحمه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الرحمه النموذجية,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الرسبل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الرعاية,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الزهور,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الزينة,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
السلطان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الصادق,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الطبيب,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الطوارئ,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
العامريه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
العزب,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
العماد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
العناية بصحتك,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الفاروق,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الفؤاد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الفؤاد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
القمرين,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الكوثر,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
المجد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
المجد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
المحضار,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
المدينه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
المطهر,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
المها,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
النبيل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
النسائيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
النصر,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
النور,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
النويره,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الوحده,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الوفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الوفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
الوفاء للياسمين,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
اوسان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ايه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
بابل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
بدون اسم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
بدون اسم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
بدون اسم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
بصمة طبيب,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
بلسم الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
بلسم المدينة,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
بلسم شفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
خصروف,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
خليجي 20,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
روحية,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
سباء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
سعوان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
سلامتك,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
شرهان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
صحه بلا حدود,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
طيبه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
طيبه 2,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عالم الصحه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عماد الدين,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
عمار,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
غزه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
غزه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
فتح الرحمن,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
لمسة شفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
ميار,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
نبض الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
نبض الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
نبض الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
نبض الحياه 2,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
نبض الصمود,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
نبض الطب,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
هاشم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
وائل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
يشفين,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,شعوب
مستشفى المتحدون,مستشفى عام,نساء وولاده - جراحه عامه - مخ واعصاب - عظام - مسالك بوليه - انف واذن وحنجره - مقطعيه - اسنان,خاص,-,امانة العاصمه,شعوب
مركز د. عليه شعيب,مركز,تخصصي نساء وولاده,خاص,-,امانة العاصمه,شعوب
مركز النعمان,مركز,جراحه المخ والاعصاب والعمود الفقري,خاص,-,امانة العاصمه,شعوب
مركز د. نجوى داوود,مركز,تخصصي نساء وولاده,خاص,-,امانة العاصمه,شعوب
مركز الاتحاد الطبي,مركز,عام,خاص,-,امانة العاصمه,شعوب
مركز اوزون الطبي,مركز,عام,خاص,-,امانة العاصمه,شعوب
مركز محمد نصر الطبي,مركز,عام,خاص,-,امانة العاصمه,شعوب
مركز الرساله النموذجي,مركز,عام,خاص,-,امانة العاصمه,شعوب
اشعه الفا بانوراما,اشعة,بانوراما,خاص,-,امانة العاصمه,شعوب
مركز سليمان المبرزي لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
مركز المرام لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
مركز القاسم عباس لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
مركز المذحجي لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,شعوب
